Key,"Stocks' Value",Cash,DividendsReceived
09/02/2016,14466136,0,0
09/09/2016,14466136,0,0
09/16/2016,14466136,0,0
09/23/2016,14466136,0,0
09/30/2016,14466136,0,0
10/07/2016,14466136,0,0
10/14/2016,14466136,0,0
10/21/2016,14466136,0,0
10/28/2016,14466136,0,0
11/04/2016,14466136,0,0
11/11/2016,14466136,0,0
11/18/2016,14466136,0,0
11/25/2016,14466136,0,0
12/02/2016,14466136,0,0
12/09/2016,14466136,0,0
12/16/2016,14466136,0,0
12/23/2016,14347203.2226696,0,0
12/30/2016,14591382.0468054,0,0
01/06/2017,15131401.3900089,0,0
01/13/2017,14857613.5212089,0,0
01/20/2017,14996375.6166029,0,0
01/27/2017,15541668.3042029,0,0
02/03/2017,15427472.8842029,0,0
02/10/2017,15457784.0142029,0,0
02/17/2017,15428177.7942029,0,0
02/24/2017,14706349.9542029,0,0
03/03/2017,14716688.6342029,0,0
03/10/2017,14430315.6042029,0,0
03/17/2017,14467616.8893529,0,0
03/24/2017,14625849.5696529,0,0
03/31/2017,14632822.2447529,0,0
04/07/2017,14649792.9697529,0,0
04/14/2017,14477665.0912279,0,0
04/21/2017,14507037.8912279,0,0
04/28/2017,14119245.6662279,0,0
05/05/2017,13970776.6662279,0,0
05/12/2017,13935316.8227279,0,0
05/19/2017,13847061.7578029,0,0
05/26/2017,13874617.3383529,0,0
06/02/2017,13330102.7533529,0,0
06/09/2017,13256887.7333529,0,0
06/16/2017,13072893.8402029,0,0
06/23/2017,12803116.6606529,0,0
06/30/2017,13101226.6775529,0,0
07/07/2017,13507384.5236029,0,0
07/14/2017,13467923.0670279,0,0
07/21/2017,14246586.7720279,0,0
07/28/2017,14500786.4603529,0,0
08/04/2017,14171221.4457529,0,0
08/11/2017,14016966.6170529,0,0
08/18/2017,14564436.1670529,0,0
08/25/2017,15175758.1520529,0,0
